,Approved Amount,Institution,Location Tag,postalcode,canton
0,33115719.0,Forschungsanstalten Agroscope - AGS,AGS,None,None
1,3435621.0,AO Research Institute - AORI,AORI,None,None
2,159317.0,Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,ASP,None,None
3,10749808.0,Weitere Spitäler - ASPIT,ASPIT,None,None
4,1519373034.69,Universität Bern - BE,BE,3012,BE
5,31028695.0,Berner Fachhochschule - BFH,BFH,3401,BE
6,2492535.0,Biotechnologie Institut Thurgau - BITG,BITG,8280,TG
7,1352251464.37,Universität Basel - BS,BS,4003,BS
8,1567678.0,Centre de rech. sur l'environnement alpin - CREALP,CREALP,1950,VS
9,18068246.0,Swiss Center for Electronics and Microtech. - CSEM,CSEM,None,None
10,74619222.37,Eidg. Anstalt für Wasserversorgung - EAWAG,EAWAG,8600,ZH
11,2086572.0,Eidg. Hochschulinstitut für Berufsbildung - EHB,EHB,3052,BE
12,58574515.92,Eidg. Material und Prüfungsanstalt - EMPA,EMPA,8600,ZH
13,5067172.0,Ente Ospedaliero Cantonale - EOC,EOC,"Viale Officina 3, Bellinzona, Switzerland",None
14,1175315913.92,EPF Lausanne - EPFL,EPFL,1015,VD
15,1635596618.2500002,ETH Zürich - ETHZ,ETHZ,8092,ZH
16,12000.0,Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,FFHS,3900,VS
17,1090280.0,Fachhochschule Kalaidos - FHKD,FHKD,8050,ZH
18,42771914.120000005,Fachhochschule Nordwestschweiz (ohne PH) - FHNW,FHNW,4600,SO
19,4437056.0,Fachhochschule Ostschweiz - FHO,FHO,"9000 St Gallen, Switzerland",None
20,7442410.0,Forschungsinstitut für biologischen Landbau - FIBL,FIBL,None,None
21,9256736.0,Weitere Institute - FINST,FINST,None,None
22,40229142.61,Friedrich Miescher Institute - FMI,FMI,4058,BS
23,34735816.0,Schweizer Kompetenzzentrum Sozialwissensch. - FORS,FORS,None,None
24,111686719.9,Firmen/Privatwirtschaft - FP,FP,None,None
25,457526170.2500001,Université de Fribourg - FR,FR,1700,FR
26,8000.0,Facoltà di Teologia di Lugano - FTL,FTL,6900,TI
27,65956.0,Franklin University Switzerland - FUS,FUS,6924,TI
28,1838237308.4999998,Université de Genève - GE,GE,"Geneva, Switzerland",None
29,627380.0,"Haute école pédagogique BE, JU, NE - HEPBEJUNE",HEPBEJUNE,2800,JU
30,1547498.0,Haute école pédagogique fribourgeoise - HEPFR,HEPFR,1700,FR
31,1430686.0,Haute école pédagogique du canton de Vaud - HEPL,HEPL,"1014, Avenue de Cour 33, 1007 Lausanne, Switzerland",None
32,34162965.46,HES de Suisse occidentale - HES-SO,HES-SO,2800,JU
33,10768116.36,Hochschule Luzern - HSLU,HSLU,6002,LU
34,2839872.0,Interkant. Hochschule für Heilpädagogik ZH - HfH,HfH,8057,ZH
35,22183105.2,Idiap Research Institute - IDIAP,IDIAP,1920,VS
36,38864231.6,Inst. de Hautes Etudes Internat. et du Dév - IHEID,IHEID,"Maison de la Paix, Chemin Eug?ne-Rigot 2, 1202 Gen?ve, Switzerland",None
37,1219681.0,Institut für Kulturforschung Graubünden - IKG,IKG,7000,GR
38,3478469.0,Forschungsinstitut für Opthalmologie - IRO,IRO,None,None
39,951238.0,Instituto Ricerche Solari Locarno - IRSOL,IRSOL,6600,TI
40,141000.0,Istituto Svizzero di Roma - ISR,ISR,None,None
41,624819.0,Inst. Suisse de Spéléologie et Karstologie - ISSKA,ISSKA,None,None
42,6882729.85,Inst. universit. romand de Santé au Travail - IST,IST,1066,VD
43,1977340.0,Institut Universitaire Kurt Bösch - IUKB,IUKB,1967,VS
