,Approved Amount,Institution,Location Tag,postalcode,canton
0,33115719,Forschungsanstalten Agroscope - AGS,AGS,None,ZH
1,3435621,AO Research Institute - AORI,AORI,None,GR
2,159317,Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,ASP,None,AG
3,10749808,Weitere Spitäler - ASPIT,ASPIT,None,AG
4,1519373035,Universität Bern - BE,BE,3012,BE
5,31028695,Berner Fachhochschule - BFH,BFH,3401,BE
6,2492535,Biotechnologie Institut Thurgau - BITG,BITG,8280,TG
7,1352251464,Universität Basel - BS,BS,4003,BS
8,1567678,Centre de rech. sur l'environnement alpin - CREALP,CREALP,1950,VS
9,18068246,Swiss Center for Electronics and Microtech. - CSEM,CSEM,None,NE
10,74619222.37,Eidg. Anstalt für Wasserversorgung - EAWAG,EAWAG,8600,ZH
11,2086572,Eidg. Hochschulinstitut für Berufsbildung - EHB,EHB,3052,BE
12,58574515.92,Eidg. Material und Prüfungsanstalt - EMPA,EMPA,8600,ZH
13,5067172,Ente Ospedaliero Cantonale - EOC,EOC,"Viale Officina 3, Bellinzona, Switzerland",TI
14,1175315914,EPF Lausanne - EPFL,EPFL,1015,VD
15,1635596618,ETH Zürich - ETHZ,ETHZ,8092,ZH
16,12000,Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,FFHS,3900,VS
17,1090280,Fachhochschule Kalaidos - FHKD,FHKD,8050,ZH
18,42771914.12,Fachhochschule Nordwestschweiz (ohne PH) - FHNW,FHNW,4600,SO
19,4437056,Fachhochschule Ostschweiz - FHO,FHO,"9000 St Gallen, Switzerland",SG
20,7442410,Forschungsinstitut für biologischen Landbau - FIBL,FIBL,None,AG
21,9256736,Weitere Institute - FINST,FINST,None,ZH
22,40229142.61,Friedrich Miescher Institute - FMI,FMI,4058,BS
23,34735816,Schweizer Kompetenzzentrum Sozialwissensch. - FORS,FORS,None,VD
24,111686719.9,Firmen/Privatwirtschaft - FP,FP,None,None
25,457526170.3,Université de Fribourg - FR,FR,1700,FR
26,8000,Facoltà di Teologia di Lugano - FTL,FTL,6900,TI
27,65956,Franklin University Switzerland - FUS,FUS,6924,TI
28,1838237308,Université de Genève - GE,GE,"Geneva, Switzerland",GE
29,627380,"Haute école pédagogique BE, JU, NE - HEPBEJUNE",HEPBEJUNE,2800,JU
30,1547498,Haute école pédagogique fribourgeoise - HEPFR,HEPFR,1700,FR
